Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
10,0,1.5,1.757469773,14.12800026,0.071631163,0,81.5,127.35263,36.3643554,0,9.752001047,0.408343568,0.056145744,9.797917557,0.406751031,0.066211876,-7.657309818,1013.105835,-0.000521,-0.003229034,0.001329243,-0.991945755,-0.0210026,-0.000759,0.12488975,-0.006757883,-0.041489131,2.890959668,822,0.030341101,-0.022350208,0.021179154,-68.05263158,3228.315789,-960.6862183,-1294.188728,-215.7562437,1,1,1,1,0,99,2432,1
11,0,1.5,1.757469773,14.12800026,0.071631163,0,81.5,127.35263,36.3643554,0,9.855553341,0.409181565,0.058779447,9.797919607,0.410176271,0.05313889,-7.729972219,1013.114697,-0.001315193,0.001444085,-0.002580295,-0.991966894,-0.0210925,-7.93E-05,0.124721101,-0.005423442,-0.041838557,2.891329193,822,0.073795033,-0.003269264,-0.007288528,-68.05263158,3228.315789,-960.5929242,-1294.048211,-214.856466,1,1,1,1,0,99,2432,1
12,0,1.5,1.757469773,14.12800026,0.071631163,0,81.5,127.35263,36.3643554,0,9.875306177,0.410737839,0.07039168,9.798015976,0.405872957,0.065912276,-7.630887079,1013.102759,-0.001376279,0.0025131,-0.001389108,-0.992052048,-0.02095545,-0.000767,0.1240624,-0.006727029,-0.04139938,2.892631888,822,0.019229126,0.010730854,-0.000429,-68.05263158,3228.315789,-960.5893878,-1293.984691,-215.1494078,1,1,1,1,0,99,2432,1
13,45,1.5,1.867932558,16.77199936,0.10544806,283.5918579,81.5,127.3526239,36.3643565,0,9.840828609,0.406428148,0.080567347,9.797807455,0.408709587,0.078342212,-7.648590231,1013.104883,-0.002231491,-0.002893058,0.000657,-0.9921783,-0.02117625,-0.00140045,0.123005201,-0.007995738,-0.041688882,2.894734442,822,0.087195539,0.001190262,-0.026147022,-68.05263158,3228.315789,-960.6337242,-1293.929977,-215.7674932,1,1,1,1,0,99,2432,1
14,45,1.5,1.867932558,16.77199936,0.10544806,283.5918579,81.5,127.3526239,36.3643565,0,9.833166838,0.396252482,0.078651927,9.798179102,0.399516287,0.071824279,-7.601293659,1013.099146,-0.001437366,0.020136562,-0.011529471,-0.992284954,-0.02066905,-0.0011447,0.12221955,-0.007330466,-0.040750703,2.896334815,822,0.050670385,-0.017629455,-0.029325902,-68.05263158,3228.315789,-959.7388126,-1294.627018,-221.4988179,1,1,1,1,0,99,2432,1
15,45,1.5,1.867932558,16.77199936,0.10544806,283.5918579,81.5,127.3526239,36.3643565,0,9.821075869,0.381886835,0.05087834,9.798906422,0.385504454,0.055962796,-7.704870701,1013.111646,-0.001467909,0.001718975,-0.001022588,-0.992403093,-0.0198603,-0.000445,0.12140905,-0.005711074,-0.03932065,2.898012948,822,0.023605967,-0.001223347,-0.000894,-68.05263158,3228.315789,-959.7564482,-1295.879969,-223.8847019,1,1,1,1,0,99,2432,1
16,45,1.5,1.867932558,16.77199936,0.10544806,283.5918579,81.5,127.3526239,36.3643565,0,9.820956182,0.391703355,0.034118416,9.798746443,0.391137211,0.040378537,-7.643041468,1013.104248,0.000914,-0.002434909,0.004291939,-0.992412755,-0.020049,0.000376,0.12129625,-0.004120803,-0.039895535,2.89826889,822,0.01670289,0.001164714,-0.003386991,-68.05263158,3228.315789,-959.7074738,-1295.56498,-223.3724947,1,1,1,1,0,99,2432,1
17,45,1.5,1.867932558,16.77199936,0.10544806,283.5918579,81.5,127.3526239,36.3643565,0,9.870038748,0.405709867,0.054828894,9.79821353,0.403027864,0.054131018,-7.681354475,1013.108789,-0.001528996,0.000864,-0.001389108,-0.992435244,-0.02073615,-0.000253,0.1210005,-0.005524529,-0.041108987,2.898830748,822,0.059015894,-0.003782541,-0.005048384,-68.05263158,3228.315789,-959.3293852,-1295.802332,-223.6094082,1,1,1,1,0,99,2432,1
18,45,1.5,1.765118957,14.80599976,0.15959008,280.8887939,81.5,127.3526149,36.3643579,0,9.845856571,0.386196525,0.037590115,9.798864508,0.388326903,0.041991089,-7.723630905,1013.11394,-0.001651169,-0.000724,4.64E-05,-0.99255605,-0.019917,0.000254,0.1201427,-0.004285291,-0.039608688,2.900591826,822,0.046992111,0.000384,-0.003682693,-68.05263158,3228.315789,-960.007037,-1295.781149,-224.5199953,1,1,1,1,0,99,2432,1
19,45,1.5,1.765118957,14.80599976,0.15959008,280.8887939,81.5,127.3526149,36.3643579,0,9.842624235,0.384161392,0.039026679,9.799145937,0.381530845,0.039359875,-7.742655182,1013.116187,-0.001406823,-0.003656639,0.001695762,-0.992654499,-0.01955685,0.00033,0.11938675,-0.004016644,-0.03891514,2.902123594,822,0.039408159,0.000835,-0.001410619,-68.05263158,3228.315789,-960.067482,-1295.72998,-224.8837423,1,1,1,1,0,99,2432,1
20,45,1.5,1.765118957,14.80599976,0.15959008,280.8887939,81.5,127.3526149,36.3643579,0,9.7685215,0.410737847,0.075659084,9.797995186,0.402965057,0.083341965,-7.636964321,1013.103467,-0.002078774,-0.006619336,-0.000564,-0.992753688,-0.0209083,-0.0017886,0.118312,-0.008505855,-0.041102582,2.90418489,822,-0.003256416,-0.01221941,0.022484982,-68.05263158,3228.315789,-959.9646822,-1295.872918,-224.4494045,1,1,1,1,0,99,2432,1
21,45,1.5,1.765118957,14.80599976,0.15959008,280.8887939,81.5,127.3526149,36.3643579,0,9.810062265,0.40199874,0.092658435,9.797962379,0.400920478,0.096119954,-7.667878819,1013.107202,-0.002781269,0.00373483,-0.002641381,-0.992877594,-0.02087985,-0.00246975,0.1172593,-0.009809954,-0.040893939,2.906279004,825,-0.006096697,0.000599,-0.006813504,-68.05263158,3228.315789,-959.5446741,-1295.858793,-223.7894063,1,1,1,1,0,99,2432,1
22,45,1.5,1.765118957,14.80599976,0.15959008,280.8887939,81.5,127.3526149,36.3643579,0,9.850525427,0.368838032,0.059976584,9.799600267,0.366746797,0.060281647,-7.742655277,1013.116187,-0.002048231,0.000161,4.64E-05,-0.993082795,-0.01893255,-0.000886,0.11587055,-0.006151375,-0.037406498,2.909172285,825,0.045897341,0.000535,-0.005572467,-68.05263158,3228.315789,-959.7487259,-1295.853737,-223.7737446,1,1,1,1,0,99,2432,1
23,45,1.5,1.714758039,14.1079998,0.383144498,157.9157257,81.5,127.352624,36.3643408,0,9.850405645,0.369436601,0.054350038,9.799559402,0.368280536,0.058208462,-7.744504833,1013.116382,-0.001315193,-0.001243722,0.00102381,-0.99316965,-0.01899735,-0.000786,0.115115149,-0.005939837,-0.037562997,2.910696971,825,0.045938063,-0.00028,-0.001344436,-68.05263158,3228.315789,-959.9964492,-1295.675257,-224.24823,1,1,1,1,0,99,2432,1
24,45,1.5,1.714758039,14.1079998,0.383144498,157.9157257,81.5,127.352624,36.3643408,0,9.842145395,0.370753452,0.053751469,9.799597025,0.367784716,0.05482697,-7.663122797,1013.106616,-0.001376279,-0.000816,0.000963,-0.993253347,-0.01895195,-0.000632,0.114398599,-0.005594759,-0.037512401,2.912146723,825,0.040633059,0.003447594,-0.00550491,-68.05263158,3228.315789,-960.1905661,-1295.675271,-225.2929373,1,1,1,1,0,99,2432,1
25,45,1.5,1.714758039,14.1079998,0.383144498,157.9157257,81.5,127.352624,36.3643408,0,9.816287374,0.368239465,0.049800916,9.799614191,0.368132101,0.049211485,-7.697472334,1013.110742,-0.00106596,-0.001258077,0.000989,-0.993335307,-0.0189365,-0.000359,0.11368875,-0.005021737,-0.03754785,2.913586748,825,0.014997053,-0.004441753,0.001187999,-68.05263158,3228.315789,-959.9812279,-1295.729973,-224.1674957,1,1,1,1,0,99,2432,1
26,45,1.5,1.714758039,14.1079998,0.383144498,157.9157257,81.5,127.352624,36.3643408,0,9.825744677,0.366563472,0.046808073,9.79962244,0.367722507,0.050677982,-7.756923437,1013.11792,-0.000725,-0.000998,0.000863,-0.993371546,-0.0189241,-0.000441,0.113373001,-0.005171376,-0.037506052,2.914219785,825,0.020854807,3.81E-05,-0.002074203,-68.05263158,3228.315789,-959.7635031,-1295.654089,-223.464701,1,1,1,1,0,99,2432,1
27,45,1.5,1.714758039,14.1079998,0.383144498,157.9157257,81.5,127.352624,36.3643408,0,9.841427279,0.364169194,0.043336374,9.799688911,0.366235065,0.048550329,-7.715704012,1013.112891,-0.000542,-0.001180802,0.000863,-0.993405801,-0.0188363,-0.000348,0.11308845,-0.004954232,-0.037354269,2.914797568,825,0.041498852,0.003800102,0.003166007,-68.05263158,3228.315789,-959.7952809,-1295.8941,-223.5458778,1,1,1,1,0,99,2432,1
