Time,location_bearingAccuracy,location_speedAccuracy,location_verticalAccuracy,location_horizontalAccuracy,location_speed,location_bearing,location_altitude,location_longitude,location_latitude,pedometer_steps,totalAcceleration_z,totalAcceleration_y,totalAcceleration_x,gravity_z,gravity_y,gravity_x,barometer_relativeAltitude,barometer_pressure,gyroscope_z,gyroscope_y,gyroscope_x,orientation_qz,orientation_qy,orientation_qx,orientation_qw,orientation_roll,orientation_pitch,orientation_yaw,light_lux,accelerometer_z,accelerometer_y,accelerometer_x,wiFi_level,wiFi_frequency,magnetometer_z,magnetometer_y,magnetometer_x,network_type,network_isConnected,network_isInternetReachable,network_isWifiEnabled,network_isConnectionExpensive,network_strength,network_frequency,label
10,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,8.0,9.554424146,1.826831679,-2.51652367,7.826560116,4.978894162,-3.036398405,0.050730896,1018.458911,-0.262820495,-0.089099579,0.117521323,-0.739631703,-0.108179051,0.295819301,0.591429651,0.369261511,-0.532894695,1.894405234,185.5,1.72815268,-3.202222526,0.484939462,-99.0,-99.0,-48.00705741,21.87882306,-34.33764648,0,0,0,1,-99.0,-99.0,-99.0,1
11,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,9.5,9.206884414,2.182531141,-1.094632512,7.997160387,5.536189151,-0.615066805,0.019551849,1018.46272,0.372296099,0.029469363,0.184044532,-0.653539994,-0.179657498,0.240271901,0.690903252,0.076490293,-0.602785754,1.537915456,161.1666667,1.318244529,-3.315379536,-0.431231274,-99.0,-99.0,-41.22749972,24.47624934,-38.29499936,0,0,0,1,-99.0,-99.0,-99.0,1
12,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,11.0,9.300630906,2.893410693,-0.883064898,8.24464674,5.170931518,0.239881754,-0.005285645,1018.465771,0.459069511,0.151581326,-0.333938653,-0.463527645,-0.1493745,0.2339452,0.8345842,-0.024321914,-0.558688432,1.013805732,66.8,1.178380895,-2.275894141,-1.112834364,-99.0,-99.0,-39.33176377,32.69999975,-28.40470538,0,0,0,1,-99.0,-99.0,-99.0,1
13,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,12.0,9.747796844,2.150481319,-0.787998096,8.221620774,5.289854312,0.265413735,-0.021138763,1018.467603,-0.34235514,-0.153362604,0.12482115,-0.525809254,-0.167988899,0.227001302,0.7993209,-0.031090685,-0.571205291,1.156381392,52.83333333,1.768371105,-3.194145584,-1.117536137,-99.0,-99.0,-42.55764636,35.59764683,-33.40941093,0,0,0,1,-99.0,-99.0,-99.0,1
14,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,13.0,9.089864433,2.813871481,-0.806272042,8.119052148,5.419304109,-0.801597752,-0.004756546,1018.465649,-0.261782023,0.006714628,0.139634629,-0.635037643,-0.16112595,0.244439101,0.713091096,0.099081426,-0.585716438,1.485978657,157.0,1.00229702,-2.6514027,-0.08595991,-99.0,-99.0,-50.33249927,25.58624947,-42.02999902,0,0,0,1,-99.0,-99.0,-99.0,1
15,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,14.5,9.392740053,2.790034347,-0.96418855,8.231294131,5.271727991,-0.515849304,0.008455276,1018.464038,-0.142785479,-0.160692989,-0.107490903,-0.661294299,-0.172854499,0.2221574,0.693320197,0.06360509,-0.568216838,1.542561656,440.2,1.140615797,-2.495566332,-0.514646575,-99.0,-99.0,-51.50117538,20.65764652,-43.62705769,0,0,0,1,-99.0,-99.0,-99.0,1
16,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,16.0,9.271899616,2.727501554,-0.951372142,8.41477685,4.9740623,0.218393353,-0.001057053,1018.465283,0.905428749,0.300235383,-0.018060225,-0.564204846,-0.166975999,0.206042251,0.766245493,-0.025009123,-0.532597034,1.263399717,399.3333333,0.693762803,-2.211787438,-1.15036481,-99.0,-99.0,-46.29176353,25.39411713,-35.72823468,0,0,0,1,-99.0,-99.0,-99.0,1
17,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,17.0,7.138530357,-0.635380723,-2.481067262,7.704222587,3.495839199,-1.224595083,-0.000529,1018.46521,-1.32569546,1.724986945,-0.249181114,-0.349670151,0.0092854,0.2182995,0.8713422,0.182671065,-0.371008708,0.746505985,262.5,-1.260630476,-4.952037132,-1.540792266,-99.0,-99.0,-43.82999897,32.47874904,-27.77624947,0,0,0,1,-99.0,-99.0,-99.0,1
18,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,18.0,-0.753633188,-8.951911814,-7.823785866,-0.849445366,-5.898646218,-6.63404305,-0.088253021,1018.475879,0.585671359,0.295531728,0.22540012,-0.56433215,0.686566752,0.218774002,0.338631301,1.642138124,0.713924932,1.315796214,41.25,0.041976199,-2.745883012,-0.897986376,-99.0,-99.0,-43.60235214,42.74117548,-1.238823568,0,0,0,1,-99.0,-99.0,-99.0,1
19,0.0,1.5,0.0,1799.999023,0.0,0.0,0.0,127.3441523,36.3607203,19.5,-1.58120726,-8.360948478,-6.797064557,-1.21978726,-6.452752793,-7.049137688,-0.282194901,1018.499243,-0.638441532,0.127818672,0.395770428,-0.584149,0.697462296,0.264260296,0.297716253,1.74175002,0.731465897,1.347905815,24.0,-0.294950691,-1.908174586,0.357019854,-99.0,-99.0,-44.77058725,40.75411696,7.545882246,0,0,0,1,-99.0,-99.0,-99.0,1
